disparo,E/N,T_micro,presion_tor
1001,1,3.15,200
1002,1.2,2.64,200
1003,1.4,2.31,200
1004,1.8,1.87,200
1005,2,1.72,200
1006,2.3,1.55,200
1007,2.6,1.395,200
1008,3,1.255,200
1009,3.3,1.18,200
1010,3.6,1.115,200
1011,4,1.06,200
1012,4.5,1.01,200
1013,5,0.98,200
1014,5.5,0.975,200
1015,6,0.975,200
1016,7,1.005,200
1017,8,1.045,200
1018,9,1.075,200
1019,10,1.01,200
1020,1,3.11,182
1021,1.2,2.69,182
1022,1.4,2.33,182
1023,1.6,2.06,182
1024,1.8,1.86,182
1025,2,1.71,182
1026,2.3,1.54,182
1027,2.6,1.4,182
1028,3,1.275,182
1029,3.3,1.18,182
1030,3.6,1.15,182
1031,4,1.05,182
1032,4.5,1.005,182
1033,5,0.98,182
1034,5.5,0.975,182
1035,6,0.975,182
1036,7,1,182
1037,8,1.035,182
1038,9,1.075,182
1039,10,1.08,182
,1,3.03,162.4
,1.2,2.56,162.4
,1.4,2.31,162.4
,1.6,2.06,162.4
,1.8,1.87,162.4
,2,1.73,162.4
,2.2,1.61,162.4
,2.3,1.55,162.4
,2.6,1.41,162.4
,3,1.265,162.4
,3.3,1.195,162.4
,3.6,1.125,162.4
,4,1.06,162.4
,4.5,1.01,162.4
,5,0.985,162.4
,5.5,0.97,162.4
,6,0.97,162.4
,7,1,162.4
,8,1.04,162.4
,9,1.07,162.4
,10,1.1,162.4
,12,1.135,162.4
,1,3.14,142.6
,1.2,2.62,142.6
,1.4,2.32,142.6
,1.6,2.07,142.6
,1.8,1.86,142.6
,2,1.74,142.6
,2.3,1.51,142.6
,2.6,1.38,142.6
,3,1.24,142.6
,3.3,1.185,142.6
,3.6,1.115,142.6
,4,1.055,142.6
,4.3,1.02,142.6
,4.5,1.005,142.6
,5,0.98,142.6
,5.5,0.975,142.6
,6,0.97,142.6
,7,0.995,142.6
,8,1.035,142.6
,9,1.065,142.6
,10,1.1,142.6
,12,1.13,142.6
,14,1.025,142.6
,1,2.92,101.7
,1.2,2.74,101.7
,1.4,2.34,101.7
,1.6,2.1,101.7
,1.8,1.78,101.7
,2,1.72,101.7
,2.3,1.52,101.7
,2.6,1.39,101.7
,3,1.25,101.7
,3.3,1.16,101.7
,3.6,1.11,101.7
,4,1.065,101.7
,4.5,1.005,101.7
,5,0.98,101.7
,5.5,0.975,101.7
,6,0.975,101.7
,7,1.02,101.7
,8,1.03,101.7
,9,1.07,101.7
,10,1.105,101.7
,12,1.14,101.7
,14,1.135,101.7
,16,1.11,101.7
,4,1.04,60.8
,5,0.98,60.8
,6,0.97,60.8
,7,1,60.8
,8,1.035,60.8
,9,1.07,60.8
,10,1.105,60.8
,12,1.14,60.8
,14,1.14,60.8
,16,1.13,60.8
,18,1.11,60.8
,20,1.075,60.8
,23,1.055,60.8
,8,1.025,31.45
,9,1.06,31.45
,10,1.09,31.45
,12,1.125,31.45
,14,1.135,31.45
,16,1.12,31.45
,18,1.1,31.45
,20,1.07,31.45
,23,1.02,31.45
,26,0.96,31.45
,30,0.905,31.45
,33,0.865,31.45
,12,1.12,10.1
,14,1.12,10.1
,16,1.1,10.1
,18,1.075,10.1
,20,1.055,10.1
,23,1.015,10.1
,26,0.96,10.1
,30,0.89,10.1
,33,0.855,10.1
,36,0.81,10.1
,40,0.76,10.1
,45,0.695,10.1
,50,0.66,10.1
,55,0.62,10.1
,60,0.59,10.1
