V_filamento_V,Vc_V,Va_mV,Vrb_mV
2,0.1,0.2705,0
2,0.2,-1.8479,-0.14
2,0.3,-1.4379,-0.21
2,0.4,-1.2328,0
2,0.5,0.6806,0.34
2,0.6,-0.4128,1.36
2,0.7,-1.3695,2.25
2,0.8,-1.3012,4.1
2,0.9,-1.3695,5.4
2,1,2.1156,7.45
2,1.1,1.5006,9.5
2,1.2,1.7739,11.89
2,1.3,3.2773,14.07
2,1.4,7.5141,16.4
2,1.5,13.801,18.79
2,1.6,13.2543,21.32
2,1.7,13.0493,24.05
2,1.8,16.7395,26.78
2,1.9,17.6278,29.52
2,2,25.4181,32.39
2,2.1,16.0561,35.26
2,2.2,17.7645,38.33
2,2.3,22.4797,40.93
2,2.4,14.8944,43.87
2,2.5,14.1427,46.88
2,2.6,19.2679,49.54
2,2.7,15.5777,52.62
2,2.8,14.3477,55.14
2,2.9,12.776,58.29
2,3,10.7942,61.02
2,3.1,16.6028,63.41
2,3.2,13.3227,66.35
2,3.3,11.7509,69.43
2,3.4,14.621,72.09
2,3.5,7.3091,74.48
2,3.6,11.7509,77.15
2,3.7,11.3409,79.75
2,3.8,7.7191,82.41
2,3.9,11.7509,85.01
2,4,10.5209,87.13
3,0.1,-1.4379,0.95
3,0.2,3.0723,1.84
3,0.3,-0.4128,3.21
3,0.4,1.2272,5.05
3,0.5,0.4755,6.83
3,0.6,4.439,8.95
3,0.7,-0.8912,11.34
3,0.8,3.824,14.01
3,0.9,4.3707,16.47
3,1,8.2658,19.13
3,1.1,10.5209,22.14
3,1.2,13.4593,24.73
3,1.3,20.7029,28.01
3,1.4,15.9878,31.09
3,1.5,14.7577,34.3
3,1.6,18.9945,37.45
3,1.7,14.8261,41.27
3,1.8,17.3545,44.48
3,1.9,17.6962,47.83
3,2,19.4729,51.73
3,2.1,17.9695,55.21
3,2.2,18.4478,58.9
3,2.3,16.6711,62.39
3,2.4,18.1062,66.15
3,2.5,14.211,69.9
3,2.6,16.3294,73.32
3,2.7,12.7076,77.35
3,2.8,18.7212,80.91
3,2.9,12.571,84.53
3,3,10.9309,88.29
3,3.1,14.9627,91.98
3,3.2,10.2476,95.94
3,3.3,11.956,99.49
3,3.4,11.956,103.53
3,3.5,9.9059,107.42
3,3.6,10.2476,111.04
3,3.7,11.4776,114.66
3,3.8,13.391,118.76
3,3.9,9.8375,122.52
3,4,11.8876,126.69
4,0.1,0.8172,5.94
4,0.2,3.414,7.72
4,0.3,1.0906,10.11
4,0.4,1.7739,12.64
4,0.5,3.619,15.17
4,0.6,7.0358,17.9
4,0.7,8.5392,20.77
4,0.8,8.7442,24.05
4,0.9,15.5777,26.85
4,1,15.5777,30.2
4,1.1,17.1495,33.41
4,1.2,18.2428,36.83
4,1.3,19.2679,40.38
4,1.4,21.3179,44.01
4,1.5,18.1062,47.35
4,1.6,18.7212,50.84
4,1.7,18.1062,54.8
4,1.8,19.8829,58.36
4,1.9,17.1495,62.05
4,2,18.4478,65.94
4,2.1,18.3112,69.49
4,2.2,16.3978,73.66
4,2.3,17.5595,77.63
4,2.4,17.4228,81.04
4,2.5,13.8694,85.28
4,2.6,16.8761,89.31
4,2.7,13.596,93.07
4,2.8,10.0426,97.17
4,2.9,13.596,100.93
4,3,12.7076,104.69
4,3.1,16.4661,108.72
4,3.2,17.8328,112.75
4,3.3,12.6393,116.58
4,3.4,15.0311,120.54
4,3.5,11.1359,124.57
4,3.6,8.6758,128.54
4,3.7,12.5026,132.77
4,3.8,12.2293,136.74
4,3.9,6.4891,140.97
4,4,9.5642,144.87
